,id,object_name,chain,object_type,address,number
2172,21430,ГБОУ школа № 1236,нет,столовая,"город Москва, улица Яблочкова, дом 35Г",120
2173,28694,СТОЛ. ПРИ ШК. 1370,нет,столовая,"город Москва, Бибиревская улица, дом 5",240
2174,21432,ГБОУ школа №1236,нет,столовая,"город Москва, улица Яблочкова, дом 10",120
2175,28755,ГБОУ Школа № 1411(606),нет,столовая,"город Москва, улица Бестужевых, дом 25Б",120
2176,23153,Якитория,да,ресторан,"город Москва, проезд Дежнёва, дом 13",100
2177,26932,БИРОДРОМ ПАНЧЕТТА,нет,ресторан,"город Москва, проезд Дежнёва, дом 13",176
2178,149932,Домино'с Пицца,да,предприятие быстрого обслуживания,"город Москва, проезд Дежнёва, дом 13",24
2179,28739,СТОЛОВАЯ-ДОГОТОВОЧНАЯ ПРИ ШКОЛЕ № 237,нет,столовая,"город Москва, Октябрьская улица, дом 81",160
2180,68341,КОФЕЙНЯ АЛЬКОВЪ,нет,кафе,"город Москва, Тихвинская улица, дом 2",150
2181,83632,ДОНЕР-КЛАБ,нет,кафе,"город Москва, улица Сущёвский Вал, дом 59",6
2182,90733,KFC,да,предприятие быстрого обслуживания,"город Москва, улица Сущёвский Вал, дом 59",93
2183,21314,БУФЕТ-РАЗДАТОЧНАЯ «ОСТАШКОВО»,нет,буфет,"город Москва, Осташковская улица, дом 20",16
2184,82473,СТОЛОВАЯ ПРИ ШК. N1413,нет,столовая,"город Москва, Белозерская улица, дом 15",240
2185,28752,ГБОУ Школа№ 950 ( 263),нет,столовая,"город Москва, Отрадная улица, дом 11Б",120
2186,21525,ГБОУ школа № 1236,нет,столовая,"город Москва, улица Гончарова, дом 15Б",60
2187,28735,СТОЛОВАЯ ПРИ ШКОЛЕ 1494,нет,столовая,"город Москва, Ботаническая улица, дом 9А, строение 1",200
2188,21431,ГБОУ школа № 1236,нет,столовая,"город Москва, улица Милашенкова, дом 9Б",80
