,UM_CODE,UM_NAMEF,global_id,UM_NAMES,UM_TRANS,UM_TYPE,UM_TM,UM_TE,UM_KLADR,Unnamed: 9
3930,063742,96-й километр Московской Кольцевой Автодороги,58485053,96-й км МКАД,Devyanosto Shestoj kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0410,,
3931,063743,97-й километр Московской Кольцевой Автодороги,58485054,97-й км МКАД,Devyanosto Sed`moj kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0410,,
3932,063744,98-й километр Московской Кольцевой Автодороги,58485055,98-й км МКАД,Devyanosto Vos`moj kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0410,,
3933,063745,99-й километр Московской Кольцевой Автодороги,58485056,99-й км МКАД,Devyanosto Devyaty'j kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0410,,
3934,063746,100-й километр Московской Кольцевой Автодороги,58485057,100-й км МКАД,Soty'j kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0406,,
3935,063747,101-й километр Московской Кольцевой Автодороги,58485058,101-й км МКАД,Sto Pervy'j kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0406,,
3936,063748,102-й километр Московской Кольцевой Автодороги,58485059,102-й км МКАД,Sto Vtoroj kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0406,77000000000733800,
3937,063749,103-й километр Московской Кольцевой Автодороги,58485060,103-й км МКАД,Sto Tretij kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0406,77000000000733700,
3938,063750,104-й километр Московской Кольцевой Автодороги,58485061,104-й км МКАД,Sto Chetvyorty'j kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0406,77000000000733900,
3939,063751,105-й километр Московской Кольцевой Автодороги,58485062,105-й км МКАД,Sto Pyaty'j kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0416,77000000000734000,
3940,063752,106-й километр Московской Кольцевой Автодороги,58485063,106-й км МКАД,Sto Shestoj kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0405,77000000000735800,
3941,063754,107-й километр Московской Кольцевой Автодороги,58485064,107-й км МКАД,Sto Sed`moj kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0407,,
